مصدر,بسامد,بن ماضی,بسامد,اسم مفعول,بسامد,گذشته ساده ۱ مفرد,بسامد,گذشته ساده ۲ مفرد,بسامد,گذشته ساده ۳ مفرد,بسامد,گذشته ساده ۱ جمع ,بسامد,گذشته ساده ۲ جمع ,بسامد,گذشته ساده ۳ جمع ,بسامد,ماضی استمراری ۱ مفرد,بسامد,ماضی استمراری ۲ مفرد,بسامد,ماضی استمراری ۳ مفرد,بسامد,ماضی استمراری ۱ جمع,بسامد,ماضی استمراری ۲ جمع,بسامد,ماضی استمراری ۳ جمع,بسامد,حال کامل ۱ مفرد ,بسامد,حال کامل ۲ مفرد ,بسامد,حال کامل ۳ مفرد ,بسامد,حال کامل ۱ جمع ,بسامد,حال کامل ۲ جمع ,بسامد,حال کامل ۳ جمع ,بسامد,گذشته استمراری التزامی ۱ مفرد,بسامد,گذشته استمراری التزامی ۲ مفرد,بسامد,گذشته استمراری التزامی ۳ مفرد,بسامد,گذشته استمراری التزامی ۱ جمع,بسامد,گذشته استمراری التزامی ۲ جمع,بسامد,گذشته استمراری التزامی ۳ جمع,بسامد,بن مضارع,بسامد,مضارع ساده ۱ مفرد,بسامد,مضارع ساده ۲ مفرد,بسامد,مضارع ساده ۳ مفرد,بسامد,مضارع ساده ۱ جمع,بسامد,مضارع ساده ۲ جمع,بسامد,مضارع ساده ۳ جمع,بسامد,مضارع اخباری ۱مفرد,بسامد,مضارع اخباری ۲مفرد,بسامد,مضارع اخباری ۳مفرد,بسامد,مضارع اخباری ۱ جمع,بسامد,مضارع اخباری ۲ جمع,بسامد,مضارع اخباری ۳ جمع,بسامد,مضارع التزامی ۱ مفرد,بسامد,مضارع التزامی ۲ مفرد,بسامد,مضارع التزامی ۳ مفرد,بسامد,مضارع التزامی ۱ جمع,بسامد,مضارع التزامی ۲ جمع,بسامد,مضارع التزامی ۳ جمع,بسامد,حال استمراری التزامی ۱ مفرد ,بسامد,حال استمراری التزامی ۲ مفرد ,بسامد,حال استمراری التزامی ۳ مفرد ,بسامد,حال استمراری التزامی ۱ جمع ,بسامد,حال استمراری التزامی ۲ جمع ,بسامد,حال استمراری التزامی ۳ جمع ,بسامد,ماضی نقلی ۱ مفرد,بسامد,ماضی نقلی ۲ مفرد,بسامد,ماضی نقلی ۳ مفرد,بسامد,ماضی نقلی ۱ جمع,بسامد,ماضی نقلی ۲ جمع,بسامد,ماضی نقلی 3 جمع‌اند,بسامد,ماضی بعید ۱ مفرد,بسامد,ماضی بعید ۲ مفرد,بسامد,ماضی بعید ۳ مفرد,بسامد,ماضی بعید ۱ جمع,بسامد,ماضی بعید ۲ جمع,بسامد,ماضی بعید ۳ جمع‌بودند,بسامد,ماضی نقلی استمراری ۱ مفرد,بسامد,ماضی نقلی استمراری ۲ مفرد,بسامد,ماضی نقلی استمراری ۳ مفرد,بسامد,ماضی نقلی استمراری ۱ جمع,بسامد,ماضی نقلی استمراری ۲ جمع,بسامد,ماضی نقلی استمراری ۳ جمع,بسامد,امری,بسامد,ماضی ساده مجمول ۱ مفرد,بسامد,ماضی ساده مجمول ۲ مفرد,بسامد,ماضی ساده مجمول ۳ مفرد,بسامد,ماضی ساده مجمول ۱ جمع,بسامد,ماضی ساده مجمول ۲ جمع,بسامد,ماضی ساده مجمول ۳ جمع,بسامد,ماضی استمراری مجمول ۱ مفرد,بسامد,ماضی استمراری مجمول ۲ مفرد,بسامد,ماضی استمراری مجمول ۳ مفرد,بسامد,ماضی استمراری مجمول ۱ جمع,بسامد,ماضی استمراری مجمول ۲ جمع,بسامد,ماضی استمراری مجمول ۳ جمع,بسامد
بستن,10891,بست,21565,بسته,74126,بستم,1455,بستی,776,بست,21565,بستیم,709,بستید,87,بستند,3784,می‌بستم,60,می‌بستی,8,می‌بست,324,می‌بستیم,31,می‌بستید,7,می‌بستند,217,بسته‌باشم,5,بسته‌باشی,7,بسته‌باش,2,بسته‌باشیم,11,بسته‌باشید,4,بسته‌باشند,81,داشتم‌می‌بستم,0,داشتی‌می‌بستی,0,داشت‌می‌بست,0,داشتیم‌می‌بستیم,0,داشتید‌می‌بستید,0,داشتند‌می‌بستند,0,بند,46592,بندم,397,بندی,69035,بندد,2341,بندیم,512,بندید,128,بندند,1295,می‌بندم,241,می‌بندی,50,می‌بندد,1431,می‌بندیم,257,می‌بندید,46,می‌بندند,771,بیبندم,0,ببندی,275,ببندد,3024,ببندیم,1687,ببندید,1313,ببندند,2039,دارم‌می‌بندم,0,داری‌می‌بندی,0,دارد‌می‌بندد,0,داریم‌می‌بندیم,0,دارید‌می‌بندید,0,دارند‌می‌بندند,0,بسته‌ام,1,بسته‌ای,47,بسته‌است,3952,بسته‌ایم,3,بسته‌اید,2,بسته‌اند,45,بسته‌بودم,147,بسته‌بودی,18,بسته‌بود,3266,بسته‌بودیم,67,بسته‌بودید,5,بسته‌بودند,1229,‌می‌بسته‌ام,0,‌می‌بسته‌ای,0,‌می‌بسته‌است,0,‌می‌بسته‌ایم,0,‌می‌بسته‌اید,0,‌می‌بسته‌اند,0,ببند,674,بسته‌شدم,3,بسته‌شدی,2,بسته‌شد,2986,بسته‌شدیم,2,بسته‌شدید,1,بسته‌شدند,209,بسته‌می‌شدم,0,بسته‌می‌شدی,0,بسته‌می‌شد,0,بسته‌می‌شدیم,0,بسته‌می‌شدید,0,بسته‌می‌شدند,0,
بسندیدن,0,بسندید,0,بسندیده,0,بسندیدم,0,بسندیدی,0,بسندید,0,بسندیدیم,0,بسندیدید,0,بسندیدند,0,می‌بسندیدم,0,می‌بسندیدی,0,می‌بسندید,0,می‌بسندیدیم,0,می‌بسندیدید,0,می‌بسندیدند,0,بسندیده‌باشم,0,بسندیده‌باشی,0,بسندیده‌باش,0,بسندیده‌باشیم,0,بسندیده‌باشید,0,بسندیده‌باشند,0,داشتم‌می‌بسندیدم,0,داشتی‌می‌بسندیدی,0,داشت‌می‌بسندید,0,داشتیم‌می‌بسندیدیم,0,داشتید‌می‌بسندیدید,0,داشتند‌می‌بسندیدند,0,بسند,9,بسندم,0,بسندی,1,بسندد,0,بسندیم,0,بسندید,0,بسندند,0,می‌بسندم,0,می‌بسندی,0,می‌بسندد,0,می‌بسندیم,0,می‌بسندید,0,می‌بسندند,0,ببسندم,0,ببسندی,0,ببسندد,0,ببسندیم,0,ببسندید,0,ببسندند,0,دارم‌می‌بسندم,0,داری‌می‌بسندی,0,دارد‌می‌بسندد,0,داریم‌می‌بسندیم,0,دارید‌می‌بسندید,0,دارند‌می‌بسندند,0,بسندیده‌ام,0,بسندیده‌ای,0,بسندیده‌است,0,بسندیده‌ایم,0,بسندیده‌اید,0,بسندیده‌اند,0,بسندیده‌بودم,0,بسندیده‌بودی,0,بسندیده‌بود,0,بسندیده‌بودیم,0,بسندیده‌بودید,0,بسندیده‌بودند,0,‌می‌بسندیده‌ام,0,‌می‌بسندیده‌ای,0,‌می‌بسندیده‌است,0,‌می‌بسندیده‌ایم,0,‌می‌بسندیده‌اید,0,‌می‌بسندیده‌اند,0,ببسند,0,بسندیده‌شدم,0,بسندیده‌شدی,0,بسندیده‌شد,0,بسندیده‌شدیم,0,بسندیده‌شدید,0,بسندیده‌شدند,0,بسندیده‌می‌شدم,0,بسندیده‌می‌شدی,0,بسندیده‌می‌شد,0,بسندیده‌می‌شدیم,0,بسندیده‌می‌شدید,0,بسندیده‌می‌شدند,0,
بسودن,3,بسود,221,بسوده,4,بسودم,0,بسودی,0,بسود,221,بسودیم,0,بسودید,0,بسودند,0,می‌بسودم,0,می‌بسودی,0,می‌بسود,1,می‌بسودیم,0,می‌بسودید,0,می‌بسودند,0,بسوده‌باشم,0,بسوده‌باشی,0,بسوده‌باش,0,بسوده‌باشیم,0,بسوده‌باشید,0,بسوده‌باشند,0,داشتم‌می‌بسودم,0,داشتی‌می‌بسودی,0,داشت‌می‌بسود,0,داشتیم‌می‌بسودیم,0,داشتید‌می‌بسودید,0,داشتند‌می‌بسودند,0,بسا,10532,بسایم,8,بسایی,8,بساید,43,بساییم,8,بسایید,26,بسایند,26,می‌بسایم,0,می‌بسایی,0,می‌بساید,0,می‌بساییم,0,می‌بسایید,0,می‌بسایند,0,ببسایم,0,ببسایی,0,ببساید,0,ببساییم,0,ببسایید,0,ببسایند,0,دارم‌می‌بسایم,0,داری‌می‌بسایی,0,دارد‌می‌بساید,0,داریم‌می‌بساییم,0,دارید‌می‌بسایید,0,دارند‌می‌بسایند,0,بسوده‌ام,0,بسوده‌ای,0,بسوده‌است,0,بسوده‌ایم,0,بسوده‌اید,0,بسوده‌اند,0,بسوده‌بودم,0,بسوده‌بودی,0,بسوده‌بود,0,بسوده‌بودیم,0,بسوده‌بودید,0,بسوده‌بودند,0,‌می‌بسوده‌ام,0,‌می‌بسوده‌ای,0,‌می‌بسوده‌است,0,‌می‌بسوده‌ایم,0,‌می‌بسوده‌اید,0,‌می‌بسوده‌اند,0,ببسا,0,بسوده‌شدم,0,بسوده‌شدی,0,بسوده‌شد,0,بسوده‌شدیم,0,بسوده‌شدید,0,بسوده‌شدند,0,بسوده‌می‌شدم,0,بسوده‌می‌شدی,0,بسوده‌می‌شد,0,بسوده‌می‌شدیم,0,بسوده‌می‌شدید,0,بسوده‌می‌شدند,0,
بسیجیدن,1,بسیجید,0,بسیجیده,0,بسیجیدم,1,بسیجیدی,0,بسیجید,0,بسیجیدیم,0,بسیجیدید,0,بسیجیدند,1,می‌بسیجیدم,0,می‌بسیجیدی,0,می‌بسیجید,0,می‌بسیجیدیم,0,می‌بسیجیدید,0,می‌بسیجیدند,0,بسیجیده‌باشم,0,بسیجیده‌باشی,0,بسیجیده‌باش,0,بسیجیده‌باشیم,0,بسیجیده‌باشید,0,بسیجیده‌باشند,0,داشتم‌می‌بسیجیدم,0,داشتی‌می‌بسیجیدی,0,داشت‌می‌بسیجید,0,داشتیم‌می‌بسیجیدیم,0,داشتید‌می‌بسیجیدید,0,داشتند‌می‌بسیجیدند,0,بسیج,31976,بسیجم,0,بسیجی,7382,بسیجد,0,بسیجیم,3,بسیجید,0,بسیجند,3,می‌بسیجم,0,می‌بسیجی,0,می‌بسیجد,0,می‌بسیجیم,0,می‌بسیجید,0,می‌بسیجند,0,ببسیجم,0,ببسیجی,0,ببسیجد,0,ببسیجیم,0,ببسیجید,0,ببسیجند,0,دارم‌می‌بسیجم,0,داری‌می‌بسیجی,0,دارد‌می‌بسیجد,0,داریم‌می‌بسیجیم,0,دارید‌می‌بسیجید,0,دارند‌می‌بسیجند,0,بسیجیده‌ام,0,بسیجیده‌ای,0,بسیجیده‌است,0,بسیجیده‌ایم,0,بسیجیده‌اید,0,بسیجیده‌اند,0,بسیجیده‌بودم,0,بسیجیده‌بودی,0,بسیجیده‌بود,0,بسیجیده‌بودیم,0,بسیجیده‌بودید,0,بسیجیده‌بودند,0,‌می‌بسیجیده‌ام,0,‌می‌بسیجیده‌ای,0,‌می‌بسیجیده‌است,0,‌می‌بسیجیده‌ایم,0,‌می‌بسیجیده‌اید,0,‌می‌بسیجیده‌اند,0,ببسیج,0,بسیجیده‌شدم,0,بسیجیده‌شدی,0,بسیجیده‌شد,0,بسیجیده‌شدیم,0,بسیجیده‌شدید,0,بسیجیده‌شدند,0,بسیجیده‌می‌شدم,0,بسیجیده‌می‌شدی,0,بسیجیده‌می‌شد,0,بسیجیده‌می‌شدیم,0,بسیجیده‌می‌شدید,0,بسیجیده‌می‌شدند,0,
بشلیدن,0,بشلید,0,بشلیده,0,بشلیدم,0,بشلیدی,0,بشلید,0,بشلیدیم,0,بشلیدید,0,بشلیدند,0,می‌بشلیدم,0,می‌بشلیدی,0,می‌بشلید,0,می‌بشلیدیم,0,می‌بشلیدید,0,می‌بشلیدند,0,بشلیده‌باشم,0,بشلیده‌باشی,0,بشلیده‌باش,0,بشلیده‌باشیم,0,بشلیده‌باشید,0,بشلیده‌باشند,0,داشتم‌می‌بشلیدم,0,داشتی‌می‌بشلیدی,0,داشت‌می‌بشلید,0,داشتیم‌می‌بشلیدیم,0,داشتید‌می‌بشلیدید,0,داشتند‌می‌بشلیدند,0,بشل,4,بشلم,0,بشلی,1,بشلد,0,بشلیم,0,بشلید,0,بشلند,1,می‌بشلم,0,می‌بشلی,0,می‌بشلد,0,می‌بشلیم,0,می‌بشلید,0,می‌بشلند,0, ببشلم,0,ببشلی,0,ببشلد,0,ببشلیم,0,ببشلید,0,ببشلند,0,دارم‌می‌بشلم,0,داری‌می‌بشلی,0,دارد‌می‌بشلد,0,داریم‌می‌بشلیم,0,دارید‌می‌بشلید,0,دارند‌می‌بشلند,0,بشلیده‌ام,0,بشلیده‌ای,0,بشلیده‌است,0,بشلیده‌ایم,0,بشلیده‌اید,0,بشلیده‌اند,0,بشلیده‌بودم,0,بشلیده‌بودی,0,بشلیده‌بود,0,بشلیده‌بودیم,0,بشلیده‌بودید,0,بشلیده‌بودند,0,‌می‌بشلیده‌ام,0,‌می‌بشلیده‌ای,0,‌می‌بشلیده‌است,0,‌می‌بشلیده‌ایم,0,‌می‌بشلیده‌اید,0,‌می‌بشلیده‌اند,0,ببشل,0,بشلیده‌شدم,0,بشلیده‌شدی,0,بشلیده‌شد,0,بشلیده‌شدیم,0,بشلیده‌شدید,0,بشلیده‌شدند,0,بشلیده‌می‌شدم,0,بشلیده‌می‌شدی,0,بشلیده‌می‌شد,0,بشلیده‌می‌شدیم,0,بشلیده‌می‌شدید,0,بشلیده‌می‌شدند,0,
بشولیدن,0,بشولید,0,بشولیده,1,بشولیدم,0,بشولیدی,0,بشولید,0,بشولیدیم,0,بشولیدید,0,بشولیدند,0,می‌بشولیدم,0,می‌بشولیدی,0,می‌بشولید,0,می‌بشولیدیم,0,می‌بشولیدید,0,می‌بشولیدند,0,بشولیده‌باشم,0,بشولیده‌باشی,0,بشولیده‌باش,0,بشولیده‌باشیم,0,بشولیده‌باشید,0,بشولیده‌باشند,0,داشتم‌می‌بشولیدم,0,داشتی‌می‌بشولیدی,0,داشت‌می‌بشولید,0,داشتیم‌می‌بشولیدیم,0,داشتید‌می‌بشولیدید,0,داشتند‌می‌بشولیدند,0,بشول,0,بشولم,0,بشولی,0,بشولد,1,بشولیم,0,بشولید,0,بشولند,0,می‌بشولم,0,می‌بشولی,0,می‌بشولد,0,می‌بشولیم,0,می‌بشولید,0,می‌بشولند,0,بشولم,0,ببشولی,0,ببشولد,0,ببشولیم,0,ببشولید,0,ببشولند,0,دارم‌می‌بشولم,0,داری‌می‌بشولی,0,دارد‌می‌بشولد,0,داریم‌می‌بشولیم,0,دارید‌می‌بشولید,0,دارند‌می‌بشولند,0,بشولیده‌ام,0,بشولیده‌ای,0,بشولیده‌است,0,بشولیده‌ایم,0,بشولیده‌اید,0,بشولیده‌اند,0,بشولیده‌بودم,0,بشولیده‌بودی,0,بشولیده‌بود,0,بشولیده‌بودیم,0,بشولیده‌بودید,0,بشولیده‌بودند,0,‌می‌بشولیده‌ام,0,‌می‌بشولیده‌ای,0,‌می‌بشولیده‌است,0,‌می‌بشولیده‌ایم,0,‌می‌بشولیده‌اید,0,‌می‌بشولیده‌اند,0,ببشول,0,بشولیده‌شدم,0,بشولیده‌شدی,0,بشولیده‌شد,0,بشولیده‌شدیم,0,بشولیده‌شدید,0,بشولیده‌شدند,0,بشولیده‌می‌شدم,0,بشولیده‌می‌شدی,0,بشولیده‌می‌شد,0,بشولیده‌می‌شدیم,0,بشولیده‌می‌شدید,0,بشولیده‌می‌شدند,0,
بلعیدن,719,بلعید,524,بلعیده,1,بلعیدم,34,بلعیدی,4,بلعید,524,بلعیدیم,6,بلعیدید,2,بلعیدند,51,می‌بلعیدم,8,می‌بلعیدی,0,می‌بلعید,41,می‌بلعیدیم,0,می‌بلعیدید,1,می‌بلعیدند,8,بلعیده‌باشم,0,بلعیده‌باشی,0,بلعیده‌باش,0,بلعیده‌باشیم,0,بلعیده‌باشید,0,بلعیده‌باشند,0,داشتم‌می‌بلعیدم,0,داشتی‌می‌بلعیدی,0,داشت‌می‌بلعید,0,داشتیم‌می‌بلعیدیم,0,داشتید‌می‌بلعیدید,0,داشتند‌می‌بلعیدند,0,بلع,387,بلعم,29,بلعی,6,بلعد,249,بلعیم,4,بلعید,524,بلعند,99,می‌بلعم,7,می‌بلعی,1,می‌بلعد,218,می‌بلعیم,3,می‌بلعید,41,می‌بلعند,89,ببلعم,22,ببلعی,6,ببلعد,290,ببلعیم,12,ببلعید,10,ببلعند,108,دارم‌می‌بلعم,0,داری‌می‌بلعی,0,دارد‌می‌بلعد,0,داریم‌می‌بلعیم,0,دارید‌می‌بلعید,0,دارند‌می‌بلعند,0,بلعیده‌ام,0,بلعیده‌ای,0,بلعیده‌است,94,بلعیده‌ایم,0,بلعیده‌اید,0,بلعیده‌اند,1,بلعیده‌بودم,6,بلعیده‌بودی,0,بلعیده‌بود,78,بلعیده‌بودیم,0,بلعیده‌بودید,0,بلعیده‌بودند,17,‌می‌بلعیده‌ام,0,‌می‌بلعیده‌ای,0,‌می‌بلعیده‌است,0,‌می‌بلعیده‌ایم,0,‌می‌بلعیده‌اید,0,‌می‌بلعیده‌اند,0,ببلع,2,بلعیده‌شدم,0,بلعیده‌شدی,0,بلعیده‌شد,13,بلعیده‌شدیم,0,بلعیده‌شدید,0,بلعیده‌شدند,6,بلعیده‌می‌شدم,0,بلعیده‌می‌شدی,0,بلعیده‌می‌شد,0,بلعیده‌می‌شدیم,0,بلعیده‌می‌شدید,0,بلعیده‌می‌شدند,0,
بندیدن,0,بندید,128,بندیده,0,بندیدم,0,بندیدی,0,بندید,128,بندیدیم,0,بندیدید,0,بندیدند,0,می‌بندیدم,0,می‌بندیدی,0,می‌بندید,46,می‌بندیدیم,0,می‌بندیدید,0,می‌بندیدند,0,بندیده‌باشم,0,بندیده‌باشی,0,بندیده‌باش,0,بندیده‌باشیم,0,بندیده‌باشید,0,بندیده‌باشند,0,داشتم‌می‌بندیدم,0,داشتی‌می‌بندیدی,0,داشت‌می‌بندید,0,داشتیم‌می‌بندیدیم,0,داشتید‌می‌بندیدید,0,داشتند‌می‌بندیدند,0,بند,46592,بندم,397,بندی,69035,بندد,2341,بندیم,512,بندید,128,بندند,1295,می‌بندم,241,می‌بندی,50,می‌بندد,1431,می‌بندیم,257,می‌بندید,46,می‌بندند,771, ببندم,0,ببندی,275,ببندد,3024,ببندیم,1687,ببندید,1313,ببندند,2039,دارم‌می‌بندم,0,داری‌می‌بندی,0,دارد‌می‌بندد,0,داریم‌می‌بندیم,0,دارید‌می‌بندید,0,دارند‌می‌بندند,0,بندیده‌ام,0,بندیده‌ای,0,بندیده‌است,0,بندیده‌ایم,0,بندیده‌اید,0,بندیده‌اند,0,بندیده‌بودم,0,بندیده‌بودی,0,بندیده‌بود,0,بندیده‌بودیم,0,بندیده‌بودید,0,بندیده‌بودند,0,‌می‌بندیده‌ام,0,‌می‌بندیده‌ای,0,‌می‌بندیده‌است,0,‌می‌بندیده‌ایم,0,‌می‌بندیده‌اید,0,‌می‌بندیده‌اند,0,ببند,674,بندیده‌شدم,0,بندیده‌شدی,0,بندیده‌شد,0,بندیده‌شدیم,0,بندیده‌شدید,0,بندیده‌شدند,0,بندیده‌می‌شدم,0,بندیده‌می‌شدی,0,بندیده‌می‌شد,0,بندیده‌می‌شدیم,0,بندیده‌می‌شدید,0,بندیده‌می‌شدند,0,
بودن,184455,بود,1915043,بوده,348733,بودم,89694,بودی,7142,بود,1915043,بودیم,48915,بودید,8325,بودند,338381,می‌بودم,57,می‌بودی,10,می‌بود,985,می‌بودیم,110,می‌بودید,11,می‌بودند,138,بوده‌باشم,68,بوده‌باشی,32,بوده‌باش,0,بوده‌باشیم,39,بوده‌باشید,52,بوده‌باشند,413,داشتم‌می‌بودم,0,داشتی‌می‌بودی,0,داشت‌می‌بود,0,داشتیم‌می‌بودیم,0,داشتید‌می‌بودید,0,داشتند‌می‌بودند,0,باش,11361,باشم,27909,باشی,12087,باشد,810022,باشیم,83890,باشید,3,باشند,209950,می‌باشم,152,می‌باشی,23,می‌باشد,9,می‌باشیم,355,می‌باشید,103,می‌باشند,11948, بباشم,0,بباشی,2,بباشد,2,بباشیم,2,بباشید,1,بباشند,1,دارم‌می‌باشم,0,داری‌می‌باشی,0,دارد‌می‌باشد,0,داریم‌می‌باشیم,0,دارید‌می‌باشید,0,دارند‌می‌باشند,0,بوده‌ام,4,بوده‌ای,5,بوده‌است,141511,بوده‌ایم,0,بوده‌اید,1,بوده‌اند,31,بوده‌بودم,1,بوده‌بودی,0,بوده‌بود,20,بوده‌بودیم,2,بوده‌بودید,0,بوده‌بودند,3,‌می‌بوده‌ام,0,‌می‌بوده‌ای,0,‌می‌بوده‌است,0,‌می‌بوده‌ایم,0,‌می‌بوده‌اید,0,‌می‌بوده‌اند,0,ببیاش,0,بوده‌شدم,0,بوده‌شدی,0,بوده‌شد,1,بوده‌شدیم,0,بوده‌شدید,0,بوده‌شدند,4,بوده‌می‌شدم,0,بوده‌می‌شدی,0,بوده‌می‌شد,0,بوده‌می‌شدیم,0,بوده‌می‌شدید,0,بوده‌می‌شدند,0,
بوسیدن,583,بوسید,1592,بوسیده,164,بوسیدم,247,بوسیدی,18,بوسید,1592,بوسیدیم,36,بوسیدید,3,بوسیدند,160,می‌بوسیدم,6,می‌بوسیدی,2,می‌بوسید,58,می‌بوسیدیم,2,می‌بوسیدید,0,می‌بوسیدند,29,بوسیده‌باشم,0,بوسیده‌باشی,0,بوسیده‌باش,0,بوسیده‌باشیم,0,بوسیده‌باشید,0,بوسیده‌باشند,0,داشتم‌می‌بوسیدم,0,داشتی‌می‌بوسیدی,0,داشت‌می‌بوسید,0,داشتیم‌می‌بوسیدیم,0,داشتید‌می‌بوسیدید,0,داشتند‌می‌بوسیدند,0,بوس,4183,بوسم,130,بوسی,350,بوسد,94,بوسیم,74,بوسید,1592,بوسند,55,می‌بوسم,112,می‌بوسی,3,می‌بوسد,77,می‌بوسیم,24,می‌بوسید,58,می‌بوسند,54,بوسم,130,ببوسی,48,ببوسد,320,ببوسیم,32,ببوسید,71,ببوسند,85,دارم‌می‌بوسم,0,داری‌می‌بوسی,0,دارد‌می‌بوسد,0,داریم‌می‌بوسیم,0,دارید‌می‌بوسید,0,دارند‌می‌بوسند,0,بوسیده‌ام,0,بوسیده‌ای,0,بوسیده‌است,9,بوسیده‌ایم,0,بوسیده‌اید,0,بوسیده‌اند,0,بوسیده‌بودم,0,بوسیده‌بودی,1,بوسیده‌بود,26,بوسیده‌بودیم,0,بوسیده‌بودید,0,بوسیده‌بودند,4,‌می‌بوسیده‌ام,0,‌می‌بوسیده‌ای,0,‌می‌بوسیده‌است,0,‌می‌بوسیده‌ایم,0,‌می‌بوسیده‌اید,0,‌می‌بوسیده‌اند,0,ببوس,310,بوسیده‌شدم,0,بوسیده‌شدی,0,بوسیده‌شد,0,بوسیده‌شدیم,0,بوسیده‌شدید,0,بوسیده‌شدند,0,بوسیده‌می‌شدم,0,بوسیده‌می‌شدی,0,بوسیده‌می‌شد,0,بوسیده‌می‌شدیم,0,بوسیده‌می‌شدید,0,بوسیده‌می‌شدند,0,
بوییدن,136,بویید,61,بوییده,11,بوییدم,10,بوییدی,0,بویید,61,بوییدیم,1,بوییدید,0,بوییدند,7,می‌بوییدم,2,می‌بوییدی,0,می‌بویید,6,می‌بوییدیم,1,می‌بوییدید,0,می‌بوییدند,1,بوییده‌باشم,0,بوییده‌باشی,0,بوییده‌باش,0,بوییده‌باشیم,0,بوییده‌باشید,0,بوییده‌باشند,0,داشتم‌می‌بوییدم,0,داشتی‌می‌بوییدی,0,داشت‌می‌بویید,0,داشتیم‌می‌بوییدیم,0,داشتید‌می‌بوییدید,0,داشتند‌می‌بوییدند,0,بو,5958,بویم,52,بویی,1669,بوید,182,بوییم,4,بویید,61,بویند,9,می‌بویم,7,می‌بویی,0,می‌بوید,6,می‌بوییم,1,می‌بویید,6,می‌بویند,9,ببویم,23,ببویی,0,ببوید,53,ببوییم,15,ببویید,7,ببویند,9,دارم‌می‌بویم,0,داری‌می‌بویی,0,دارد‌می‌بوید,0,داریم‌می‌بوییم,0,دارید‌می‌بویید,0,دارند‌می‌بویند,0,بوییده‌ام,0,بوییده‌ای,0,بوییده‌است,2,بوییده‌ایم,0,بوییده‌اید,0,بوییده‌اند,0,بوییده‌بودم,2,بوییده‌بودی,0,بوییده‌بود,0,بوییده‌بودیم,0,بوییده‌بودید,0,بوییده‌بودند,0,‌می‌بوییده‌ام,0,‌می‌بوییده‌ای,0,‌می‌بوییده‌است,0,‌می‌بوییده‌ایم,0,‌می‌بوییده‌اید,0,‌می‌بوییده‌اند,0,ببو,28,بوییده‌شدم,0,بوییده‌شدی,0,بوییده‌شد,0,بوییده‌شدیم,0,بوییده‌شدید,0,بوییده‌شدند,0,بوییده‌می‌شدم,0,بوییده‌می‌شدی,0,بوییده‌می‌شد,0,بوییده‌می‌شدیم,0,بوییده‌می‌شدید,0,بوییده‌می‌شدند,0,
بیختن,4,بیخت,0,بیخته,18,بیختم,0,بیختی,4,بیخت,0,بیختیم,2,بیختید,0,بیختند,4,می‌بیختم,0,می‌بیختی,0,می‌بیخت,0,می‌بیختیم,1,می‌بیختید,0,می‌بیختند,0,بیخته‌باشم,0,بیخته‌باشی,0,بیخته‌باش,0,بیخته‌باشیم,0,بیخته‌باشید,0,بیخته‌باشند,0,داشتم‌می‌بیختم,0,داشتی‌می‌بیختی,0,داشت‌می‌بیخت,0,داشتیم‌می‌بیختیم,0,داشتید‌می‌بیختید,0,داشتند‌می‌بیختند,0,بیز,228,بیزم,0,بیزی,38,بیزد,8,بیزیم,11,بیزید,0,بیزند,1,می‌بیزم,0,می‌بیزی,0,می‌بیزد,2,می‌بیزیم,0,می‌بیزید,0,می‌بیزند,1,بیزم,0,ببیزی,0,ببیزد,0,ببیزیم,0,ببیزید,0,ببیزند,1,دارم‌می‌بیزم,0,داری‌می‌بیزی,0,دارد‌می‌بیزد,0,داریم‌می‌بیزیم,0,دارید‌می‌بیزید,0,دارند‌می‌بیزند,0,بیخته‌ام,0,بیخته‌ای,0,بیخته‌است,0,بیخته‌ایم,0,بیخته‌اید,0,بیخته‌اند,0,بیخته‌بودم,0,بیخته‌بودی,0,بیخته‌بود,0,بیخته‌بودیم,0,بیخته‌بودید,0,بیخته‌بودند,0,‌می‌بیخته‌ام,0,‌می‌بیخته‌ای,0,‌می‌بیخته‌است,0,‌می‌بیخته‌ایم,0,‌می‌بیخته‌اید,0,‌می‌بیخته‌اند,0,ببیز,0,بیخته‌شدم,0,بیخته‌شدی,0,بیخته‌شد,0,بیخته‌شدیم,0,بیخته‌شدید,0,بیخته‌شدند,0,بیخته‌می‌شدم,0,بیخته‌می‌شدی,0,بیخته‌می‌شد,0,بیخته‌می‌شدیم,0,بیخته‌می‌شدید,0,بیخته‌می‌شدند,0,
